# timestamp[ns] w.x w.y w.z a.x a.y a.z
1650458716701802015 -0.000002 -0.001792 -0.000040 1.338906 -9.867622 -0.041340
1650458716706779003 -0.005238 0.001699 0.001706 1.385270 -9.875759 -0.019414
1650458716711755991 -0.005238 -0.000047 0.003451 1.401835 -9.877832 -0.007710
1650458716716732979 -0.006983 -0.003537 0.005196 1.428683 -9.870160 0.010948
1650458716721709967 -0.008729 -0.003537 0.008687 1.475770 -9.844684 0.040052
1650458716726686954 -0.017455 -0.007028 0.013923 1.499690 -9.876714 0.018576
1650458716728559971 -0.018112 -0.007685 0.015894 1.497485 -9.872191 0.017106
1650458716731662989 -0.019201 -0.008773 0.019159 1.493833 -9.864697 0.014672
1650458716736639977 -0.024437 -0.014009 0.020904 1.449258 -9.841713 0.031835
1650458716741616964 -0.027927 -0.014009 0.024395 1.364275 -9.836768 -0.019007
1650458716746593952 -0.033163 -0.019245 0.033122 1.247478 -9.888001 -0.133256
1650458716751570940 -0.026182 -0.020991 0.024395 1.145789 -9.857877 -0.252902
1650458716756547928 -0.026182 -0.027972 0.024395 1.055670 -9.770902 -0.317945
1650458716761523962 -0.022691 -0.024481 0.012178 0.992605 -9.812571 -0.514114
1650458716766500950 -0.012219 -0.017500 0.010432 0.932772 -9.791425 -0.649871
1650458716768610954 -0.006300 -0.018240 0.003772 0.962515 -9.751793 -0.618073
1650458716771477938 0.001743 -0.019245 -0.005276 1.002923 -9.697950 -0.574873
1650458716776454926 0.024433 -0.019245 -0.014002 1.054620 -9.744398 -0.439395
1650458716781431913 0.038395 -0.029717 -0.029710 1.254583 -9.778245 -0.224255
1650458716786408901 0.045376 -0.047171 -0.027965 1.510548 -9.868206 -0.202180
1650458716791384935 0.043631 -0.027972 -0.019238 1.359416 -9.954196 -0.090693
1650458716796361923 0.036650 -0.015755 -0.008766 1.161786 -9.893772 0.046210
1650458716801338911 0.027923 -0.005283 -0.010512 1.166127 -9.851833 0.098981
1650458716806315899 0.020942 0.001699 -0.015748 1.322035 -9.924417 0.178340
1650458716808661938 0.015183 0.000876 -0.014925 1.406471 -9.928632 0.198110
1650458716811292887 0.008725 -0.000047 -0.014002 1.501152 -9.933358 0.220280
1650458716816268921 0.001743 -0.000047 -0.010512 1.571763 -9.869946 0.172759
1650458716821245909 -0.003493 -0.000047 -0.005276 1.482165 -9.859215 0.073054
1650458716826222897 -0.008729 -0.001792 0.006942 1.412628 -9.858244 0.003081
1650458716831199884 -0.013965 -0.005283 0.005196 1.363198 -9.856549 -0.057884
1650458716836176872 -0.012219 -0.005283 0.006942 1.334518 -9.801784 -0.156629
1650458716841153860 -0.013965 -0.008773 0.005196 1.337765 -9.823763 -0.254115
1650458716846129894 -0.010474 -0.007028 0.008687 1.425695 -9.800542 -0.301071
1650458716848712921 -0.005945 -0.008840 0.009593 1.449088 -9.789521 -0.310694
